---------------------------------------------------------------------------------------------------
Date: 9/20/2026 -- 19:59:26 (uptime: 0d, 00h 00m 05s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 30
capture.afpacket.polls                                       | Total                     | 258
capture.afpacket.poll_timeout                                | Total                     | 237
capture.afpacket.poll_data                                   | Total                     | 13
decoder.pkts                                                 | Total                     | 30
decoder.bytes                                                | Total                     | 1620
decoder.ipv4                                                 | Total                     | 30
decoder.ethernet                                             | Total                     | 30
decoder.tcp                                                  | Total                     | 30
tcp.syn                                                      | Total                     | 30
decoder.avg_pkt_size                                         | Total                     | 54
decoder.max_pkt_size                                         | Total                     | 54
flow.total                                                   | Total                     | 30
flow.tcp                                                     | Total                     | 30
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 30
tcp.ssn_from_pool                                            | Total                     | 30
flow.end.state.new                                           | Total                     | 30
flow.end.tcp_state.syn_sent                                  | Total                     | 30
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 8
flow.mgr.flows_notimeout                                     | Total                     | 8
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 12582768
flow.recycler.recycled                                       | Total                     | 30
flow.recycler.queue_avg                                      | Total                     | 3
flow.recycler.queue_max                                      | Total                     | 25
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
detect.thresholds.cache.memuse                               | Total                     | 17472
flow.memuse                                                  | Total                     | 7154304
