---------------------------------------------------------------------------------------------------
Date: 9/20/2026 -- 19:59:11 (uptime: 0d, 00h 00m 06s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 120
capture.afpacket.polls                                       | Total                     | 277
capture.afpacket.poll_timeout                                | Total                     | 239
capture.afpacket.poll_data                                   | Total                     | 30
decoder.pkts                                                 | Total                     | 120
decoder.bytes                                                | Total                     | 6480
decoder.ipv4                                                 | Total                     | 120
decoder.ethernet                                             | Total                     | 120
decoder.tcp                                                  | Total                     | 120
tcp.syn                                                      | Total                     | 40
tcp.synack                                                   | Total                     | 40
decoder.avg_pkt_size                                         | Total                     | 54
decoder.max_pkt_size                                         | Total                     | 54
flow.total                                                   | Total                     | 40
flow.tcp                                                     | Total                     | 40
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
flow.wrk.flows_evicted_needs_work                            | Total                     | 40
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 80
flow.wrk.flows_injected                                      | Total                     | 40
tcp.sessions                                                 | Total                     | 40
tcp.ssn_from_pool                                            | Total                     | 40
flow.end.state.established                                   | Total                     | 40
flow.end.tcp_state.established                               | Total                     | 40
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 12
flow.mgr.flows_notimeout                                     | Total                     | 12
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 12582768
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
detect.thresholds.cache.memuse                               | Total                     | 17472
flow.memuse                                                  | Total                     | 7154304
