---------------------------------------------------------------------------------------------------
Date: 9/20/2026 -- 19:59:20 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 1000
capture.afpacket.polls                                       | Total                     | 583
capture.afpacket.poll_timeout                                | Total                     | 244
capture.afpacket.poll_data                                   | Total                     | 331
decoder.pkts                                                 | Total                     | 1000
decoder.bytes                                                | Total                     | 54000
decoder.ipv4                                                 | Total                     | 1000
decoder.ethernet                                             | Total                     | 1000
decoder.tcp                                                  | Total                     | 1000
tcp.syn                                                      | Total                     | 1000
decoder.avg_pkt_size                                         | Total                     | 54
decoder.max_pkt_size                                         | Total                     | 54
flow.total                                                   | Total                     | 1000
flow.tcp                                                     | Total                     | 1000
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 16
tcp.sessions                                                 | Total                     | 1000
tcp.ssn_from_pool                                            | Total                     | 1000
flow.end.state.new                                           | Total                     | 1000
flow.end.tcp_state.syn_sent                                  | Total                     | 1000
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 10100
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 427
flow.mgr.flows_notimeout                                     | Total                     | 427
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 12582768
flow.recycler.recycled                                       | Total                     | 1000
flow.recycler.queue_avg                                      | Total                     | 100
flow.recycler.queue_max                                      | Total                     | 701
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
detect.thresholds.cache.memuse                               | Total                     | 17472
flow.memuse                                                  | Total                     | 7657504
