---------------------------------------------------------------------------------------------------
Date: 9/20/2026 -- 19:59:56 (uptime: 0d, 00h 00m 07s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 1433
capture.afpacket.polls                                       | Total                     | 405
capture.afpacket.poll_timeout                                | Total                     | 337
capture.afpacket.poll_data                                   | Total                     | 60
decoder.pkts                                                 | Total                     | 1433
decoder.bytes                                                | Total                     | 2077998
decoder.ipv4                                                 | Total                     | 1432
decoder.ipv6                                                 | Total                     | 1
decoder.ethernet                                             | Total                     | 1433
decoder.tcp                                                  | Total                     | 1432
tcp.syn                                                      | Total                     | 1
tcp.synack                                                   | Total                     | 1
decoder.icmpv6                                               | Total                     | 1
decoder.avg_pkt_size                                         | Total                     | 1450
decoder.max_pkt_size                                         | Total                     | 1454
flow.total                                                   | Total                     | 2
flow.tcp                                                     | Total                     | 1
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 2
flow.wrk.flows_evicted_needs_work                            | Total                     | 1
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 2
flow.wrk.flows_injected                                      | Total                     | 1
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
tcp.segment_from_pool                                        | Total                     | 5
flow.end.state.new                                           | Total                     | 1
flow.end.state.established                                   | Total                     | 1
flow.end.tcp_state.established                               | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9800
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 12582768
flow.recycler.recycled                                       | Total                     | 1
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
detect.thresholds.cache.memuse                               | Total                     | 17472
flow.memuse                                                  | Total                     | 7154304
