---------------------------------------------------------------------------------------------------
Date: 9/20/2026 -- 19:59:47 (uptime: 0d, 00h 00m 06s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 201
capture.afpacket.polls                                       | Total                     | 321
capture.afpacket.poll_timeout                                | Total                     | 239
capture.afpacket.poll_data                                   | Total                     | 74
decoder.pkts                                                 | Total                     | 201
decoder.bytes                                                | Total                     | 10870
decoder.ipv4                                                 | Total                     | 200
decoder.ipv6                                                 | Total                     | 1
decoder.ethernet                                             | Total                     | 201
decoder.tcp                                                  | Total                     | 200
tcp.syn                                                      | Total                     | 200
decoder.icmpv6                                               | Total                     | 1
decoder.avg_pkt_size                                         | Total                     | 54
decoder.max_pkt_size                                         | Total                     | 70
flow.total                                                   | Total                     | 201
flow.tcp                                                     | Total                     | 200
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 200
tcp.ssn_from_pool                                            | Total                     | 200
flow.end.state.new                                           | Total                     | 201
flow.end.tcp_state.syn_sent                                  | Total                     | 200
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 71
flow.mgr.flows_notimeout                                     | Total                     | 71
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 12582768
flow.recycler.recycled                                       | Total                     | 201
flow.recycler.queue_avg                                      | Total                     | 22
flow.recycler.queue_max                                      | Total                     | 150
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
detect.thresholds.cache.memuse                               | Total                     | 17472
flow.memuse                                                  | Total                     | 7154304
