label,timestamp,timestamp_epoch,flow_id,src_ip,src_port,dest_ip,dest_port,protocol,app_proto,flow_state,packets_to_server,packets_to_client,bytes_to_server,bytes_to_client,total_packets,total_bytes,flow_duration,packet_rate,byte_rate,average_packet_size,upload_download_ratio,dns_event_count,dns_record_type,dns_type,dns_rcode,dns_unique_domain_count_per_flow,dns_max_query_length_per_flow,tls_event_count,sni,tls_version,ja3_hash,ja3_string,ja3s_hash,ja3s_string,ja4,tls_subject,tls_issuer,quic_event_count,quic_version,quic_sni,quic_ja3,quic_ja3s,source_flow_count,unique_destination_ips,unique_destination_ports,dns_query_count_by_source,unique_dns_domains_by_source,repeated_dns_queries,destination_fanout,source_ip_count_in_file,source_ip_entropy_in_file,src_interarrival_sec,dns_query,dns_query_length,dns_entropy,dns_digit_count,dns_letter_count,dns_hyphen_count,dns_dot_count,dns_digit_ratio,dns_label_count,dns_longest_label,dns_bigram_count,dns_unique_bigram_count,dns_trigram_count,dns_unique_trigram_count
dns_tunnel,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,874120751393084,192.168.50.18,7847,8.8.8.8,53,UDP,,new,1,0,113,0,1,113,0.0,0.0,0.0,54.0,54.0,1,,,,1,51,0,,,,,,,,,,0,,,,,1,1,1,0,0,0,1,1,0.0,0.0,0jlglzdfnxtxcfrq9a4cb2l2vtirvniv67fyg.sec-cloud.net,51,4.391489514102182,7,41,1,2,0.13725490196078433,3,37,0,0,0,0
exfil,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,969007966589626,192.168.50.18,43480,198.51.100.12,443,TCP,,new,1025,3,1434763,190,1028,1434953,1.7588279234939113,584.4801451399966,815857.5269543516,1395.8686770428017,7551.384210526316,0,,,,0,0,0,,,,,,,,,,0,,,,,1,1,1,0,0,0,1,1,0.0,0.0,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
portscan,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,104810093126270,192.168.50.18,46331,192.168.50.47,97,TCP,,new,1,0,54,0,1,54,0.0,0.0,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,63,1,63,0,0,0,63,1,0.0,0.003296526135329451,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
beacon,2026-09-22T15:26:59.603016+00:00,1790090819.6030164,196036270613938,192.168.50.18,43809,203.0.113.68,443,TCP,,new,5,0,303,0,6,367,0.07923106300510235,0.0,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,38,1,1,0,0,0,1,1,0.0,6.090524142952891,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
beacon,2026-09-22T15:27:49.868609+00:00,1790090869.8686087,767961750568267,192.168.50.18,49886,203.0.113.68,443,TCP,,new,4,0,199,0,5,263,0.06951621921271049,0.0,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,38,1,1,0,0,0,1,1,0.0,6.440492352586267,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
ddos,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,321882399554217,114.20.119.3,54361,192.168.50.47,80,TCP,,new,1,0,56,0,1,56,0.0,956.956876992677,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,1,1,1,0,0,0,1,176,7.459431618637297,0.0,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
ddos,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,643542953317075,202.107.178.32,48292,192.168.50.47,80,TCP,,new,1,0,41,0,1,41,0.0,1173.073818236275,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,3,1,1,0,0,0,1,176,7.459431618637297,0.0,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
ddos,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,338023368560362,136.165.93.134,20362,192.168.50.47,80,TCP,,new,1,0,41,0,1,41,0.0,971.003127697647,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,3,1,1,0,0,0,1,176,7.459431618637297,0.0,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
ddos,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,888913061113861,89.57.15.75,9571,192.168.50.47,80,TCP,,new,1,0,59,0,1,59,0.0,1419.9492816105271,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,1,1,1,0,0,0,1,176,7.459431618637297,0.0,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
ddos,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,541363987972420,42.60.146.183,46711,192.168.50.47,80,TCP,,new,1,0,62,0,1,62,0.0,1073.0960041715823,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,1,1,1,0,0,0,1,176,7.459431618637297,0.0,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
benign,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,664174827572921,192.168.50.197,26898,93.184.216.34,443,TCP,,new,5,8,573,1328,13,1901,0.34285549469188403,0.0,0.0,54.0,0.4314759036144578,0,,,,0,0,0,,,,,,,,,,0,,,,,1,1,1,0,0,0,1,1,0.0,0.0,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
portscan,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,642943409444783,192.168.50.18,56116,192.168.50.47,4188,TCP,,new,1,0,54,0,1,54,0.0,0.0,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,63,1,63,0,0,0,63,1,0.0,0.004298657621713658,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
portscan,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,381050753508307,192.168.50.18,6472,192.168.50.47,5928,TCP,,new,1,0,54,0,1,54,0.0,0.0,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,63,1,63,0,0,0,63,1,0.0,0.0014536737278180482,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
ddos,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,409520408749901,129.15.247.174,54344,192.168.50.47,80,TCP,,new,1,0,65,0,1,65,0.0,1305.7014769181174,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,2,1,1,0,0,0,1,176,7.459431618637297,0.0,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
ja3_malware,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,757673673820269,192.168.50.18,21359,203.0.113.68,443,TCP,,new,3,1,249,71,4,320,0.026722984285715887,0.0,0.0,80.0,3.507042253521127,0,,,,0,0,1,node-704.telemetry-c2.net,TLS 1.2,a0e9f5d64349fb13191bc781f81f42e1,"771,49195-49199-49196-49200-158-159,0-10-11,29-23-24,0",,,,,,0,,,,,4,1,1,0,0,0,1,1,0.0,0.0,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
ddos,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,696292728692341,222.20.172.3,37300,192.168.50.47,80,TCP,,new,1,0,71,0,1,71,0.0,1490.96295697393,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,3,1,1,0,0,0,1,176,7.459431618637297,0.0,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
ddos,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,627801562315729,179.45.45.232,7631,192.168.50.47,80,TCP,,new,1,0,74,0,1,74,0.0,1430.083250077258,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,3,1,1,0,0,0,1,176,7.459431618637297,0.0,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
ddos,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,411934482275919,236.102.13.105,40511,192.168.50.47,80,TCP,,new,1,0,57,0,1,57,0.0,1266.6767438137692,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,2,1,1,0,0,0,1,176,7.459431618637297,0.0,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
portscan,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,415560752814906,192.168.50.18,47001,192.168.50.47,31198,TCP,,new,1,0,54,0,1,54,0.0,0.0,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,63,1,63,0,0,0,63,1,0.0,0.0008920366167866159,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
ddos,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,479403134310946,120.68.162.41,43236,192.168.50.47,80,TCP,,new,1,0,61,0,1,61,0.0,1203.9018984939223,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,3,1,1,0,0,0,1,176,7.459431618637297,0.0,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
beacon,2026-09-22T15:26:21.528770+00:00,1790090781.5287704,841623755804334,192.168.50.18,17617,203.0.113.68,443,TCP,,new,2,0,334,0,3,398,0.03484269300697142,0.0,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,38,1,1,0,0,0,1,1,0.0,6.3323530315097845,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
portscan,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,453717867088337,192.168.50.18,46868,192.168.50.47,11408,TCP,,new,1,0,54,0,1,54,0.0,0.0,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,63,1,63,0,0,0,63,1,0.0,0.004002623357950127,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
ja3_malware,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,698537245609375,192.168.50.18,43817,203.0.113.68,443,TCP,,new,3,1,231,78,4,309,0.02605809199194361,0.0,0.0,77.25,2.9615384615384617,0,,,,0,0,1,node-971.telemetry-c2.net,TLS 1.2,a0e9f5d64349fb13191bc781f81f42e1,"771,49195-49199-49196-49200-158-159,0-10-11,29-23-24,0",,,,,,0,,,,,4,1,1,0,0,0,1,1,0.0,0.0,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
portscan,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,410108716580700,192.168.50.18,50437,192.168.50.47,15950,TCP,,new,1,0,54,0,1,54,0.0,0.0,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,63,1,63,0,0,0,63,1,0.0,0.00250095856113474,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
ddos,2026-09-22T15:24:28.657976+00:00,1790090668.6579735,425866363052961,57.57.235.178,58401,192.168.50.47,80,TCP,,new,1,0,48,0,1,48,0.0,1190.8078405893693,0.0,54.0,54.0,0,,,,0,0,0,,,,,,,,,,0,,,,,1,1,1,0,0,0,1,176,7.459431618637297,0.0,,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
